,coefficient,std_err,z_value,p_value
group_numeric,0.3313379301418632,0.005150307227410352,64.33362428914064,0.0
time_pressure,0.9303595229846775,0.008157431003983357,114.05055372584499,0.0
personality_numeric,0.5952692512213377,0.0027878207556163797,213.52493700396647,0.0
trial_index,-0.39982355209581927,0.002153909835936579,-185.62687510174493,0.0
time_diff,0.12946427801170587,0.0007661578757849327,168.97859057974057,0.0
congestion_diff,-0.00866818224113614,7.931427264941192e-05,-109.28905922710256,0.0
