trial,overall_fast_rate,group_A_fast_rate,group_B_fast_rate,diff_A_B,avg_congestion_fast,avg_congestion_relax
1,0.92159,0.9367364921696639,0.9064834418567491,0.03025305031291481,84.95086820492931,45.075104577187226
2,0.74816,0.7825129170505066,0.7138976550952743,0.06861526195523238,195.54619840156508,54.425385086369346
3,0.57129,0.5982697160251532,0.5443814165301801,0.05388829949497309,174.8245182198202,75.2437925675566
4,0.66062,0.6918332198502023,0.6294890744217633,0.062344145428439024,153.501637913905,96.44824234562594
5,0.65723,0.6925541715063884,0.6219989613709903,0.07055521013539812,164.31764650865878,85.7083571702721
