,coefficient,std_err,z_value,p_value
group_numeric,0.3296708532829167,0.005180357349392038,63.63863167115422,0.0
time_pressure,0.9355892562214603,0.00835959238058408,111.91804739121635,0.0
personality_numeric,0.595134468406458,0.0027947977341085603,212.94366355863832,0.0
trial_index,-0.4035080742704724,0.0021629531018611267,-186.5542410157998,0.0
time_diff,0.13158037406696643,0.0007878251845283995,167.01722241303042,0.0
congestion_diff,-0.008950417749234878,8.005722390168522e-05,-111.80025128308839,0.0
